Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-48614900174,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,78071,4,49.52,3.0
INV-48614900180,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,84159,3,33.75,2.25
INV-48614900009,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,heaven hill brands,11774,2,9.22,0.75
INV-48614900129,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,e & j gallo winery,52581,2,11.26,0.75
INV-48690400127,2022-06-27,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,100413,1,77.4,0.05
INV-48606000162,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,82867,96,1133.76,96.0
INV-48692500036,2022-06-27,HY-VEE #7 / CEDAR RAPIDS,52411,mhw ltd,37061,2,37.5,1.5
INV-48614900154,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,bacardi usa inc,64736,2,42.52,1.5
INV-48606600010,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,HEAVEN HILL BRANDS,11773,48,112.32,9.6
INV-48692400005,2022-06-27,HY-VEE #7 / CEDAR RAPIDS,52411,mhw ltd,26101,6,180.0,4.2
INV-48606000077,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,43050,12,171.0,12.0
INV-48603500036,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,22788,,72.0,10.5
INV-48603500171,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,BACARDI USA INC,58003,6,89.94,10.5
INV-48614700013,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,intercontinental packaging company/prestige beverage group,75208,3,21.78,0.15
INV-48629900010,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,76487,12,72.96,12.0
INV-48704000095,2022-06-27,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,E & J GALLO WINERY,36969,12,135.0,9.0
INV-48704000027,2022-06-27,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PERNOD RICARD USA,88188,6,224.82,10.5
INV-48606000002,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,10627,12,174.84,12.0
INV-48614900150,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,63530,3,27.0,5.25
